"site","date","channel_grouping","device","sum(sessions)"
Arboriculture Fruitière,"2023-01-01",Direct,desktop,1
Arboriculture Fruitière,"2023-01-01",Organic Search,desktop,6
Arboriculture Fruitière,"2023-01-02",Direct,desktop,7
Arboriculture Fruitière,"2023-01-02",Direct,tablet,1
Arboriculture Fruitière,"2023-01-02",Organic Search,desktop,21
Arboriculture Fruitière,"2023-01-02",Social,desktop,1
Arboriculture Fruitière,"2023-01-03",Direct,desktop,4
Arboriculture Fruitière,"2023-01-03",Organic Search,desktop,39
Arboriculture Fruitière,"2023-01-03",Organic Search,mobile,2
Arboriculture Fruitière,"2023-01-03",Organic Search,tablet,1
Arboriculture Fruitière,"2023-01-03",Referral,desktop,3
Arboriculture Fruitière,"2023-01-04",(other),desktop,1
Arboriculture Fruitière,"2023-01-04",Direct,desktop,12
Arboriculture Fruitière,"2023-01-04",Organic Search,desktop,35
Arboriculture Fruitière,"2023-01-04",Organic Search,mobile,1
Arboriculture Fruitière,"2023-01-04",Organic Search,tablet,2
Arboriculture Fruitière,"2023-01-05",Direct,desktop,7
Arboriculture Fruitière,"2023-01-05",Organic Search,desktop,24
Arboriculture Fruitière,"2023-01-05",Referral,desktop,2
Arboriculture Fruitière,"2023-01-05",Social,desktop,2
Arboriculture Fruitière,"2023-01-06",Direct,desktop,8
Arboriculture Fruitière,"2023-01-06",Direct,mobile,1
Arboriculture Fruitière,"2023-01-06",Organic Search,desktop,17
Arboriculture Fruitière,"2023-01-06",Organic Search,mobile,3
Arboriculture Fruitière,"2023-01-06",Organic Search,tablet,2
Arboriculture Fruitière,"2023-01-06",Social,desktop,2
Arboriculture Fruitière,"2023-01-07",Direct,desktop,2
Arboriculture Fruitière,"2023-01-07",Organic Search,desktop,7
Arboriculture Fruitière,"2023-01-07",Organic Search,tablet,1
Arboriculture Fruitière,"2023-01-08",Direct,desktop,2
Arboriculture Fruitière,"2023-01-08",Organic Search,desktop,9
Arboriculture Fruitière,"2023-01-08",Organic Search,mobile,1
Arboriculture Fruitière,"2023-01-08",Organic Search,tablet,1
Arboriculture Fruitière,"2023-01-09",Direct,desktop,14
Arboriculture Fruitière,"2023-01-09",Direct,mobile,1
Arboriculture Fruitière,"2023-01-09",Organic Search,desktop,36
Arboriculture Fruitière,"2023-01-10",Direct,desktop,21
Arboriculture Fruitière,"2023-01-10",Organic Search,desktop,37
Arboriculture Fruitière,"2023-01-10",Organic Search,mobile,1
Arboriculture Fruitière,"2023-01-10",Referral,desktop,2
Arboriculture Fruitière,"2023-01-10",Social,desktop,1
Arboriculture Fruitière,"2023-01-11",Direct,desktop,24
Arboriculture Fruitière,"2023-01-11",Direct,mobile,1
Arboriculture Fruitière,"2023-01-11",Organic Search,desktop,35
Arboriculture Fruitière,"2023-01-11",Referral,desktop,2
Arboriculture Fruitière,"2023-01-11",Social,desktop,1
Arboriculture Fruitière,"2023-01-12",(other),desktop,1
Arboriculture Fruitière,"2023-01-12",Direct,desktop,39
Arboriculture Fruitière,"2023-01-12",Organic Search,desktop,33
Arboriculture Fruitière,"2023-01-12",Referral,desktop,3
Arboriculture Fruitière,"2023-01-12",Social,desktop,1
Arboriculture Fruitière,"2023-01-13",Direct,desktop,11
Arboriculture Fruitière,"2023-01-13",Organic Search,desktop,25
Arboriculture Fruitière,"2023-01-13",Social,desktop,2
Arboriculture Fruitière,"2023-01-13",Social,mobile,1
Arboriculture Fruitière,"2023-01-14",Direct,desktop,6
Arboriculture Fruitière,"2023-01-14",Direct,tablet,1
Arboriculture Fruitière,"2023-01-14",Organic Search,desktop,14
Arboriculture Fruitière,"2023-01-14",Organic Search,mobile,1
Arboriculture Fruitière,"2023-01-14",Organic Search,tablet,2
Arboriculture Fruitière,"2023-01-14",Social,tablet,1
Arboriculture Fruitière,"2023-01-15",(other),desktop,1
Arboriculture Fruitière,"2023-01-15",Organic Search,desktop,9
Arboriculture Fruitière,"2023-01-15",Organic Search,mobile,1
Arboriculture Fruitière,"2023-01-16",Direct,desktop,16
Arboriculture Fruitière,"2023-01-16",Organic Search,desktop,43
Arboriculture Fruitière,"2023-01-16",Organic Search,mobile,1
Arboriculture Fruitière,"2023-01-16",Referral,desktop,2
Arboriculture Fruitière,"2023-01-16",Social,desktop,4
Arboriculture Fruitière,"2023-01-16",Social,mobile,1
Arboriculture Fruitière,"2023-01-17",Direct,desktop,17
Arboriculture Fruitière,"2023-01-17",Direct,mobile,1
Arboriculture Fruitière,"2023-01-17",Organic Search,desktop,24
Arboriculture Fruitière,"2023-01-17",Organic Search,mobile,1
Arboriculture Fruitière,"2023-01-17",Organic Search,tablet,2
Arboriculture Fruitière,"2023-01-17",Referral,desktop,2
Arboriculture Fruitière,"2023-01-17",Social,tablet,1
Arboriculture Fruitière,"2023-01-18",Direct,desktop,12
Arboriculture Fruitière,"2023-01-18",Organic Search,desktop,25
Arboriculture Fruitière,"2023-01-18",Referral,desktop,3
Arboriculture Fruitière,"2023-01-18",Social,mobile,1
Arboriculture Fruitière,"2023-01-19",Direct,desktop,16
Arboriculture Fruitière,"2023-01-19",Organic Search,desktop,36
Arboriculture Fruitière,"2023-01-19",Organic Search,mobile,2
Arboriculture Fruitière,"2023-01-19",Referral,desktop,1
Arboriculture Fruitière,"2023-01-20",Direct,desktop,34
Arboriculture Fruitière,"2023-01-20",Direct,mobile,1
Arboriculture Fruitière,"2023-01-20",Email,desktop,1
Arboriculture Fruitière,"2023-01-20",Organic Search,desktop,31
Arboriculture Fruitière,"2023-01-20",Organic Search,mobile,2
Arboriculture Fruitière,"2023-01-20",Referral,desktop,4
Arboriculture Fruitière,"2023-01-21",Organic Search,desktop,11
Arboriculture Fruitière,"2023-01-21",Organic Search,mobile,1
Arboriculture Fruitière,"2023-01-22",Direct,desktop,5
Arboriculture Fruitière,"2023-01-22",Organic Search,desktop,9
Arboriculture Fruitière,"2023-01-22",Organic Search,mobile,1
Arboriculture Fruitière,"2023-01-22",Organic Search,tablet,1
Arboriculture Fruitière,"2023-01-23",Direct,desktop,24
Arboriculture Fruitière,"2023-01-23",Organic Search,desktop,39
Arboriculture Fruitière,"2023-01-23",Organic Search,mobile,2
Arboriculture Fruitière,"2023-01-23",Referral,desktop,2
Arboriculture Fruitière,"2023-01-24",Direct,desktop,23
Arboriculture Fruitière,"2023-01-24",Direct,mobile,2
Arboriculture Fruitière,"2023-01-24",Direct,tablet,1
Arboriculture Fruitière,"2023-01-24",Organic Search,desktop,49
Arboriculture Fruitière,"2023-01-24",Referral,desktop,3
Arboriculture Fruitière,"2023-01-24",Social,desktop,13
Arboriculture Fruitière,"2023-01-24",Social,mobile,4
Arboriculture Fruitière,"2023-01-25",Direct,desktop,27
Arboriculture Fruitière,"2023-01-25",Email,desktop,1
Arboriculture Fruitière,"2023-01-25",Organic Search,desktop,27
Arboriculture Fruitière,"2023-01-25",Organic Search,mobile,2
Arboriculture Fruitière,"2023-01-25",Organic Search,tablet,3
Arboriculture Fruitière,"2023-01-25",Referral,desktop,2
Arboriculture Fruitière,"2023-01-25",Social,desktop,8
Arboriculture Fruitière,"2023-01-26",Direct,desktop,40
Arboriculture Fruitière,"2023-01-26",Email,desktop,1
Arboriculture Fruitière,"2023-01-26",Organic Search,desktop,36
Arboriculture Fruitière,"2023-01-26",Organic Search,tablet,1
Arboriculture Fruitière,"2023-01-26",Referral,desktop,1
Arboriculture Fruitière,"2023-01-26",Social,desktop,3
Arboriculture Fruitière,"2023-01-26",Social,mobile,2
Arboriculture Fruitière,"2023-01-27",Direct,desktop,18
Arboriculture Fruitière,"2023-01-27",Organic Search,desktop,24
Arboriculture Fruitière,"2023-01-27",Organic Search,mobile,2
Arboriculture Fruitière,"2023-01-27",Referral,desktop,2
Arboriculture Fruitière,"2023-01-27",Social,desktop,2
Arboriculture Fruitière,"2023-01-28",Organic Search,desktop,7
